window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label,interval_ms,long_interval
1744005571741,1744005571764,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.006154288,0.018862966,0.024504142,0.22761169,0.14816394,0.16997637,1,23,False
1744005571764,1744005571783,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.003820848,0.023462644,0.020380922,0.23833591,0.15104875,0.17144608,1,19,False
1744005571783,1744005571804,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.003368825,0.022247061,0.013838749,0.23875466,0.1505695,0.1757255,1,21,False
1744005571804,1744005571822,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.011175453,0.015149015,0.011884037,0.24646401,0.15983358,0.17494358,1,18,False
1744005571822,1744005571843,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.00725992,0.019980816,0.008359448,0.25803024,0.1596672,0.173466,1,21,False
1744005571843,1744005571862,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.000693,0.021538477,-0.002012739,0.26688746,0.16002297,0.17989644,1,19,False
1744005571862,1744005571882,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.001065929,0.013096568,-0.000425,0.26660752,0.16222648,0.180888,1,20,False
1744005571882,1744005571902,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.005415161,0.014538168,-0.004688249,0.2743369,0.16349918,0.18139756,1,20,False
1744005571902,1744005571921,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.008090674,0.017250327,-0.010381348,0.27505872,0.1638684,0.18081746,1,19,False
1744005571921,1744005571941,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.002660238,0.004245387,-0.008799258,0.28688705,0.17998701,0.18152332,1,20,False
1744005571941,1744005571960,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.049135037,0.022364644,-0.01245823,0.47458062,0.23405394,0.18261558,1,19,False
1744005571960,1744005571979,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.02159803,0.01770999,-0.01812842,0.5066551,0.23717704,0.19390553,1,19,False
1744005571979,1744005572000,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.036421772,-0.001904322,-0.007762339,0.62981004,0.27609843,0.20633484,1,21,False
1744005572000,1744005572018,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,-0.017383182,0.014130423,0.00605502,0.7421633,0.30105382,0.2107373,1,18,False
1744005572018,1744005572039,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.00331843,0.020147266,-0.002864874,0.75278574,0.30003506,0.22579768,1,21,False
1744005572039,1744005572058,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.04147959,0.009634588,0.005247177,0.8046988,0.31719387,0.22448649,1,19,False
1744005572058,1744005572077,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.014368654,0.015388771,0.017152589,0.83695257,0.31999084,0.22846153,1,19,False
1744005572077,1744005572098,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.012016893,0.023952851,0.011280827,0.8373288,0.32445225,0.2390446,1,21,False
1744005572098,1744005572117,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.027990546,0.021594975,0.011964974,0.84878266,0.32697406,0.23895341,1,19,False
1744005572117,1744005572138,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.019970126,0.017893244,0.016436374,0.85096395,0.32943243,0.24123576,1,21,False
1744005572138,1744005572157,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.004882199,0.028234888,0.012667446,0.85763884,0.34092897,0.24511924,1,19,False
1744005572157,1744005572175,-0.5752645,8.425889,5.2965727,0.9914035,1.4584941,1.7764764,0.021723261,0.029041208,0.008984042,0.86478317,0.34067982,0.24443994,1,18,False
