window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label,time_diff,disconnected,window_start_time,window_end_time,des
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,0.001267508,-0.018623203,0.010175189,0.08344668,0.093901835,0.07712727,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,0.001670668,-0.016595192,0.014799305,0.08376876,0.09482999,0.075365074,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,0.001291943,-0.014286189,0.018800354,0.08420446,0.09591185,0.07753489,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,-0.000638,-0.012197089,0.023137372,0.083738066,0.09772488,0.077647485,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,9.47E-05,-0.013632583,0.023247324,0.0833935,0.09576011,0.07782991,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,-0.000144,-0.009973607,0.024688924,0.083524205,0.099849485,0.07886271,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.08303693,6.169486,1.1041619,0.46506786,4.924062,1.3160928,0.001389679,-0.012123788,0.028335676,0.08385412,0.09724437,0.07935472,1,0,0,16:51:15,16:51:15,
1.74505E+12,1.74505E+12,-0.06888338,6.1964235,1.0893384,0.47344843,4.935804,1.2961112,0.001389679,-0.012123788,0.028335676,0.08385412,0.09724437,0.07935472,1,0,0,16:51:15,16:51:16,
1.74505E+12,1.74505E+12,-0.06888338,6.1964235,1.0893384,0.47344843,4.935804,1.2961112,0.003823903,-0.010164497,0.02951003,0.08552833,0.09844835,0.07936116,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06888338,6.1964235,1.0893384,0.47344843,4.935804,1.2961112,0.002382304,-0.010024002,0.028893076,0.087148294,0.09864487,0.078475,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.05681159,6.207532,1.0900801,0.4638495,4.943971,1.2969239,0.002382304,-0.010024002,0.028893076,0.087148294,0.09864487,0.078475,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.05681159,6.207532,1.0900801,0.4638495,4.943971,1.2969239,0.001698156,-0.007592831,0.026816197,0.08709116,0.10021752,0.07761304,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.05681159,6.207532,1.0900801,0.4638495,4.943971,1.2969239,-0.002254026,-0.003414636,0.026846739,0.08316466,0.10048164,0.07760774,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.069882385,6.187378,1.1057353,0.44438195,4.9285293,1.3038583,-0.002254026,-0.003414636,0.026846739,0.08316466,0.10048164,0.07760774,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,-0.002254026,-0.003414636,0.026846739,0.08316466,0.10048164,0.07760774,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,-0.000751,-0.002889307,0.027341522,0.08198312,0.10062217,0.07752015,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,-0.001307212,-0.001618746,0.027689707,0.08199477,0.10151728,0.07731088,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,-0.002015796,-0.00091,0.027549215,0.08137231,0.10141894,0.07737506,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,-0.001569876,0.00033,0.026822306,0.08105682,0.10267781,0.07796465,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,0.00014,-0.000391,0.026547424,0.08258806,0.10275958,0.0781589,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06789036,6.413284,1.146228,0.44491366,4.8985224,1.3003234,-0.000385,0.000348,0.02568613,0.08267369,0.10290516,0.07854085,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.000385,0.000348,0.02568613,0.08267369,0.10290516,0.07854085,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,0.000159,-0.000874,0.026388604,0.082300015,0.103348,0.078172565,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.001924169,0.001441601,0.025319621,0.08081093,0.10295261,0.07933297,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.000843,0.001527119,0.024867596,0.08077631,0.10294091,0.07992577,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.004471401,0.002070773,0.02296786,0.074059896,0.10233969,0.0809899,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.003555131,0.001802001,0.017537428,0.07345907,0.10207914,0.08342231,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.003084779,0.00188752,0.0173725,0.07387808,0.10199485,0.083635435,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07220342,6.4258995,1.158892,0.4507393,4.9073105,1.3038406,-0.005882459,0.006126799,0.01689604,0.071405746,0.09535029,0.08411922,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06056832,6.4137864,1.1629837,0.45558092,4.896346,1.3018827,-0.005882459,0.006126799,0.01689604,0.071405746,0.09535029,0.08411922,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06056832,6.4137864,1.1629837,0.45558092,4.896346,1.3018827,-0.01035386,0.009987354,0.018087192,0.069857396,0.090975866,0.081779264,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.06056832,6.4137864,1.1629837,0.45558092,4.896346,1.3018827,-0.008350282,0.014440434,0.0158576,0.06930439,0.08251324,0.084311575,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07105486,6.4261403,1.1550095,0.4443898,4.9021997,1.3018707,-0.008350282,0.014440434,0.0158576,0.06930439,0.08251324,0.084311575,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07105486,6.4261403,1.1550095,0.4443898,4.9021997,1.3018707,-0.006768187,0.01833153,0.012949965,0.06860186,0.07754748,0.088302985,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07105486,6.4261403,1.1550095,0.4443898,4.9021997,1.3018707,-0.005219689,0.015233006,0.010214898,0.06960367,0.08122595,0.09074582,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.07105486,6.4261403,1.1550095,0.4443898,4.9021997,1.3018707,-0.005164713,0.016436376,0.007270613,0.06964057,0.07981738,0.09405834,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.08488538,6.620658,1.1944731,0.45264745,4.835867,1.2961547,-0.005164713,0.016436376,0.007270613,0.06964057,0.07981738,0.09405834,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.08488538,6.620658,1.1944731,0.45264745,4.835867,1.2961547,-0.00477988,0.014554965,0.004937177,0.06996938,0.08309753,0.09629528,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.08488538,6.620658,1.1944731,0.45264745,4.835867,1.2961547,-0.003081724,0.014359496,-0.000933,0.068185166,0.083172634,0.10037582,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.08488538,6.620658,1.1944731,0.45264745,4.835867,1.2961547,-0.003484883,0.011103677,-0.005239539,0.06747127,0.08888771,0.1026324,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.10274181,6.617661,1.2068022,0.45304668,4.833059,1.2998718,-0.003484883,0.011103677,-0.005239539,0.06747127,0.08888771,0.1026324,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.10274181,6.617661,1.2068022,0.45304668,4.833059,1.2998718,-0.000919,0.007145386,-0.009924737,0.06860807,0.09319189,0.1048453,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.10274181,6.617661,1.2068022,0.45304668,4.833059,1.2998718,-0.002654131,0.004280513,-0.013944114,0.06899812,0.096489765,0.105739266,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.10274181,6.617661,1.2068022,0.45304668,4.833059,1.2998718,-0.000699,0.000163,-0.018885866,0.067085244,0.09794522,0.10678332,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.096729845,6.609478,1.214872,0.44587305,4.8269553,1.3052517,-0.000699,0.000163,-0.018885866,0.067085244,0.09794522,0.10678332,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.11075776,6.8192925,1.259534,0.45357612,4.7626734,1.3011167,-0.000699,0.000163,-0.018885866,0.067085244,0.09794522,0.10678332,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.11075776,6.8192925,1.259534,0.45357612,4.7626734,1.3011167,-0.001902788,-0.001217113,-0.021329256,0.067155,0.09883882,0.10620108,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12945169,6.9834046,1.2829357,0.46766868,4.6652436,1.288716,-0.001902788,-0.001217113,-0.021329256,0.067155,0.09883882,0.10620108,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12945169,6.9834046,1.2829357,0.46766868,4.6652436,1.288716,-0.001133121,-0.003501682,-0.022721987,0.06684088,0.09752065,0.105830476,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12945169,6.9834046,1.2829357,0.46766868,4.6652436,1.288716,-0.000895,-0.006201628,-0.023210669,0.06674972,0.097532205,0.10541724,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12614362,7.001266,1.2592767,0.46372265,4.675526,1.2736049,-0.000895,-0.006201628,-0.023210669,0.06674972,0.097532205,0.10541724,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12614362,7.001266,1.2592767,0.46372265,4.675526,1.2736049,-0.003991887,-0.007490513,-0.024328519,0.06659366,0.096857175,0.10440652,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12614362,7.001266,1.2592767,0.46372265,4.675526,1.2736049,-0.001487413,-0.008370133,-0.027004031,0.065100566,0.09619276,0.10136226,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12614362,7.001266,1.2592767,0.46372265,4.675526,1.2736049,-0.000638,-0.010782976,-0.028066907,0.06503074,0.0943627,0.099964574,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12614362,7.001266,1.2592767,0.46372265,4.675526,1.2736049,-0.001750078,-0.01077076,-0.029337468,0.065843284,0.094374955,0.09801536,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.12614362,7.001266,1.2592767,0.46372265,4.675526,1.2736049,-0.000144,-0.015333789,-0.028903766,0.06558269,0.09002182,0.09870366,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.1244447,6.962533,1.2789757,0.46479738,4.650255,1.2505631,-0.000144,-0.015333789,-0.028903766,0.06558269,0.09002182,0.09870366,1,0,0,16:51:16,16:51:16,
1.74505E+12,1.74505E+12,-0.17402998,6.954248,1.2951392,0.5187092,4.6469755,1.2711229,-0.000144,-0.015333789,-0.028903766,0.06558269,0.09002182,0.09870366,1,0,0,16:51:16,16:51:17,
1.74505E+12,1.74505E+12,-0.17402998,6.954248,1.2951392,0.5187092,4.6469755,1.2711229,-0.000718,-0.018314729,-0.027126199,0.06463209,0.088678464,0.101038344,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.1865265,6.930188,1.3060086,0.53489864,4.635745,1.2756705,-0.000718,-0.018314729,-0.027126199,0.06463209,0.088678464,0.101038344,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.1865265,6.930188,1.3060086,0.53489864,4.635745,1.2756705,-0.000596,-0.016995298,-0.023900924,0.06467575,0.08940961,0.10475085,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.1865265,6.930188,1.3060086,0.53489864,4.635745,1.2756705,-0.002031067,-0.016970865,-0.02021141,0.065609254,0.089446194,0.108984105,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.002031067,-0.016970865,-0.02021141,0.065609254,0.089446194,0.108984105,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.005134172,-0.01601183,-0.015819415,0.07007642,0.09109534,0.11458494,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.004395045,-0.014191505,-0.011176976,0.07088867,0.09367225,0.11609022,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.003991887,-0.01162595,-0.007579086,0.07080565,0.096742265,0.11990339,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.003710897,-0.010966234,-0.003193205,0.07078275,0.09761463,0.123674765,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.004193466,-0.009573503,0.000954,0.0704803,0.09828937,0.1267745,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.19382462,7.164236,1.3272568,0.53479326,4.5749617,1.2625203,-0.004474456,-0.00806471,0.004369082,0.07068252,0.101027355,0.12754574,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.22502103,7.146014,1.4021401,0.5221035,4.5653114,1.2514973,-0.004474456,-0.00806471,0.004369082,0.07068252,0.101027355,0.12754574,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.22502103,7.146014,1.4021401,0.5221035,4.5653114,1.2514973,-0.0034238,-0.006458185,0.008168558,0.07073439,0.10238795,0.12927835,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.0034238,-0.006458185,0.008168558,0.07073439,0.10238795,0.12927835,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.002110477,-0.0042347,0.010947909,0.07059282,0.10223033,0.13061395,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.003906368,-0.001724119,0.013501256,0.071516454,0.104808085,0.12993287,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.004077405,-7.64E-06,0.016598249,0.07146197,0.10535233,0.12925754,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.005091413,0.002356339,0.0200251,0.07104684,0.10444656,0.1292235,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.004847074,0.0017516,0.02469809,0.07098355,0.10399904,0.12711367,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.007418741,0.004140015,0.028014984,0.07040492,0.103080355,0.12611718,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.006319215,0.005862604,0.029878069,0.07078068,0.10296993,0.12519325,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21769303,7.134308,1.4155939,0.5167681,4.558338,1.2596223,-0.005439596,0.009820891,0.033958532,0.06912833,0.1039291,0.1226056,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.22803001,7.3264575,1.468224,0.51747894,4.454873,1.2543399,-0.005439596,0.009820891,0.033958532,0.06912833,0.1039291,0.1226056,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.22803001,7.3264575,1.468224,0.51747894,4.454873,1.2543399,-0.006160395,0.01172674,0.03823446,0.06903116,0.10384771,0.120413736,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.22803001,7.3264575,1.468224,0.51747894,4.454873,1.2543399,-0.010301938,0.017267123,0.042137776,0.06334664,0.09972113,0.11831811,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.22803001,7.3264575,1.468224,0.51747894,4.454873,1.2543399,-0.009465078,0.017444268,0.046786323,0.06377033,0.09971865,0.11411777,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21189041,7.3373985,1.47158,0.51263714,4.4573393,1.2576263,-0.009465078,0.017444268,0.046786323,0.06377033,0.09971865,0.11411777,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21275185,7.3275585,1.4391153,0.51225156,4.4513865,1.2246673,-0.009465078,0.017444268,0.046786323,0.06377033,0.09971865,0.11411777,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21275185,7.3275585,1.4391153,0.51225156,4.4513865,1.2246673,-0.010668447,0.022276068,0.047598753,0.06435004,0.10054729,0.11420305,1,0,0,16:51:17,16:51:17,
1.74505E+12,1.74505E+12,-0.21275185,7.3275585,1.4391153,0.51225156,4.4513865,1.2246673,-0.010912785,0.028482275,0.05160591,0.064087614,0.097807616,0.11089562,1,0,0,16:51:17,16:51:17,
